angle,distance
0.2802998778702891,153.9,0.0061130788691525296
0.2879793265790641,153.70000000000002,0.0061120928354354495
0.2956587752878392,153.70000000000002,0.0061032294427161085
0.2994984996422267,153.5,0.006106702275528597
0.30717794835100176,153.5,0.006097865920810313
0.31101767270538927,153.5,0.006093457326124919
0.32253684576855185,152.8,0.006107943236076084
0.33405601883171443,152.8,0.0060947528130756625
0.3417354675404895,153.5,0.006058416734332654
0.3532546406036521,153.3,0.0060532160666464906
0.3570943649580396,153.3,0.006048877393558051
0.36477381366681466,153.3,0.006040218679266842
0.37245326237558973,153.3,0.006031584718714396
0.3801327110843648,153.3,0.006022975405902359
0.3878121597931399,152.9,0.006030022579908283
0.3916518841475274,152.70000000000002,0.006033569128375697
0.4070107815650775,152.70000000000002,0.006016430459146412
