time,voltage,current,LLR
4.435171365737915,7155933,598666,3
4.460366725921631,7155600,592000,3
4.486731052398682,7165600,585333,3
4.514497518539429,7165600,592000,3
4.546642303466797,7155266,598666,3
4.571781873703003,7155266,598666,3
4.6024699211120605,7155933,585333,3
4.6307573318481445,7155266,585333,3
4.655163049697876,7155933,585333,3
4.680111646652222,7155600,592000,3
4.706513404846191,7091600,840000,3
4.731551647186279,7137600,618666,3
4.758736848831177,7139533,644000,3
4.790058612823486,7156266,625333,3
4.825080156326294,7139866,677333,3
4.85037636756897,7116066,768000,3
4.876701593399048,7148866,650666,3
4.907350540161133,7155266,585333,3
4.93585729598999,7172666,521333,3
4.96175479888916,7180066,474666,3
4.989230155944824,7179733,468000,3
5.015343189239502,7189133,462666,3
5.039935350418091,7172066,526666,3
5.064337730407715,7164666,560000,3
5.095252275466919,7163333,540000,3
5.125034809112549,7172333,521333,3
5.14946985244751,7180066,481333,3
5.172468662261963,7188800,449333,3
5.203204870223999,7197466,422666,3
5.227236986160278,7197466,422666,3
5.251699924468994,7197800,442666,3
5.279939651489258,7187800,436000,3
5.30862832069397,7197466,429333,3
5.341418027877808,7187466,429333,3
5.369622707366943,7181400,514666,3
5.400744676589966,7138200,644000,3
5.429125070571899,7155266,585333,3
5.457996129989624,7180400,481333,3
5.483649730682373,7198133,436000,3
5.5113279819488525,7197800,429333,3
5.540740489959717,7196800,409333,3
5.56775164604187,7196800,416000,3
5.5986011028289795,7188133,449333,3
5.6228039264678955,7189133,462666,3
5.65002965927124,7188800,462666,3
5.677089691162109,7188466,456000,3
5.706369876861572,7188133,442666,3
5.735550880432129,7188133,456000,3
5.762134313583374,7189400,468000,3
5.788406133651733,7190066,474666,3
5.818033218383789,7189133,456000,3
5.851274013519287,7043733,1068000,4
5.880481958389282,7051800,1036000,4
5.908188819885254,7083600,905333,4
5.933101654052734,7108400,801333,4
5.957125902175903,7124800,722666,4
5.988417148590088,7130200,677333,4
6.023175001144409,7147866,637333,4
6.047557353973389,7146933,612000,4
6.072527885437012,7155933,598666,4
6.097798585891724,7155266,585333,4
6.125558137893677,7164333,573333,4
6.148530006408691,7164333,566666,4
6.1776182651519775,7164000,553333,4
6.202509641647339,7173333,546666,4
6.241726636886597,7163000,540000,4
6.27182936668396,7173000,526666,4
6.306720495223999,7091333,866666,4
6.3303303718566895,7091000,866666,4
6.354663610458374,7100000,813333,4
6.381950378417969,7082933,925333,4
6.419277191162109,7115133,742666,4
6.449275732040405,7155933,598666,4
6.4803783893585205,7163666,540000,4
6.506711483001709,7163333,533333,4
6.535526514053345,7180733,494666,4
6.563605308532715,7180400,488000,4
6.596226692199707,7188800,449333,4
6.627066373825073,7171400,501333,4
6.655213117599487,7139866,664000,4
6.68598198890686,7156266,618666,4
6.7157721519470215,7180733,494666,4
6.739409446716309,7154666,578666,4
6.765313148498535,7198133,442666,4
6.791887283325195,7197133,422666,4
6.82747220993042,7197133,416000,4
6.852626323699951,7198133,442666,4
6.879190444946289,7189133,462666,4
6.9052369594573975,7188466,449333,4
6.930171251296997,7187800,429333,4
6.955744504928589,7197466,429333,4
6.980603218078613,7197466,429333,4
7.007197141647339,7197800,429333,4
7.034472465515137,7187466,442666,4
7.057940483093262,7197800,442666,4
7.104387998580933,7044066,1068000,5
7.135723829269409,7058466,1002666,5
7.161881446838379,7081600,853333,5
7.189715623855591,7116400,761333,5
7.222577810287476,7131133,696000,5
7.24605393409729,7129533,677333,5
7.270505905151367,7128533,644000,5
7.299094915390015,7147266,618666,5
7.326281547546387,7146600,605333,5
7.355814456939697,7156600,598666,5
7.384727478027344,7155600,592000,5
7.409777879714966,7154933,578666,5
7.439728021621704,7164333,560000,5
7.462796688079834,7174000,553333,5
7.491270065307617,7163333,546666,5
7.518232107162476,7172666,533333,5
7.546483516693115,7172666,526666,5
7.58159327507019,7172066,514666,5
7.620550155639648,7081933,866666,5
7.651270866394043,7106400,754666,5
7.692099094390869,7100333,840000,6
7.717288970947266,7074866,937333,6
7.744336843490601,7065866,925333,6
7.769255638122559,7108400,808000,6
7.798540830612183,7138533,650666,6
7.827585935592651,7164666,585333,6
7.856459379196167,7173000,540000,6
7.885780096054077,7181400,501333,6
7.910712242126465,7170400,488000,6
7.937740325927734,7171733,508000,6
7.960330009460449,7180733,488000,6
7.98628044128418,7180066,474666,6
8.01664113998413,7179733,468000,6
8.04530930519104,7188800,456000,6
8.069758415222168,7188133,442666,6
8.098080396652222,7188133,456000,6
8.122026681900024,7188466,436000,6
8.151347637176514,7189133,456000,6
8.18037724494934,7180066,481333,6
8.210798740386963,7146600,598666,6
8.237920999526978,7147600,637333,6
8.265667915344238,7154933,573333,6
8.291433811187744,7163666,553333,6
8.316190242767334,7172333,533333,6
8.340699195861816,7171733,521333,6
8.367432117462158,7180733,501333,6
8.398632764816284,7180400,488000,6
8.430092573165894,7180400,488000,6
8.45855164527893,7188800,456000,6
8.485632419586182,7188800,456000,6
8.512616395950317,7187800,436000,6
8.536784887313843,7188800,456000,6
8.561569929122925,7189133,462666,6
8.586007356643677,7181066,501333,6
8.615144729614258,7172066,514666,6
8.641821384429932,7179733,481333,6
8.668449878692627,7188800,456000,6
8.695039987564087,7188133,442666,6
8.725048303604126,7187800,442666,6
8.749595403671265,7197466,429333,6
8.77370023727417,7188133,429333,6
8.821641206741333,7026000,1120000,7
8.84949278831482,7033400,1068000,7
8.874297857284546,7066533,964000,7
8.903245210647583,7099000,820000,7
8.931883811950684,7115733,754666,7
8.971851110458374,7130200,677333,7
9.029216051101685,7147600,625333,7
9.092008113861084,7050800,1016000,7
9.139709949493408,7115733,754666,7
9.191542387008667,7033400,1048000,8
9.227190732955933,7098666,794666,8
9.255919456481934,7131800,716000,8
9.285492420196533,7139866,677333,8
9.314512491226196,7074266,925333,8
9.34627914428711,7082266,878666,8
9.371518850326538,7124466,702666,8
9.404531717300415,7156266,605333,8
9.430138349533081,7155600,592000,8
9.452755212783813,7164333,560000,8
9.486253499984741,7171733,514666,8
9.512025594711304,7163666,553333,8
9.537748575210571,7154666,560000,8
9.56193208694458,7171733,508000,8
9.587583303451538,7171066,508000,8
9.620223045349121,7180400,488000,8
9.70441460609436,7197466,429333,8
9.785972595214844,7138200,625333,8
9.876127004623413,7188133,429333,8
9.945891380310059,7197133,422666,8
9.975201845169067,7179400,474666,8
10.002635478973389,7189400,468000,8
10.036059856414795,7188466,449333,8
10.069566249847412,7197133,416000,8
10.102385759353638,7196800,409333,8
10.130093097686768,7197466,429333,8
10.169289827346802,7034400,1101333,9
10.205894708633423,7057800,989333,9
10.23580813407898,7091000,826666,9
10.259714365005493,7115733,749333,9
10.285691976547241,7123133,702666,9
10.311384916305542,7139533,670666,9
10.334807872772217,7138866,657333,9
10.359618663787842,7147600,625333,9
10.385773420333862,7146600,612000,9
10.420356750488281,7145933,605333,9
10.446512460708618,7155600,585333,9
10.476070165634155,7155266,585333,9
10.505670547485352,7164333,566666,9
10.539162397384644,7163333,540000,9
10.568036079406738,7163333,540000,9
10.605509281158447,7162666,533333,9
10.637277126312256,7081600,878666,9
10.671846389770508,7114466,722666,9
10.700023889541626,7123800,716000,9
10.725317239761353,7115733,742666,9
10.750139713287354,7090666,860000,9
10.776455879211426,7131133,670666,9
10.815399646759033,7164000,553333,9
10.839455604553223,7180400,488000,9
